SELECTED_GENE,EVALUATED_GENE,CORRELATION,PVALUE
XPO5,ARF1,0.1235033928817645,0.00013330948135899563
XPO5,ARFRP1,-0.088808234796641,0.006107512848713636
XPO5,ARG2,0.08665651740866272,0.007467035243939872
XPO5,ARHGAP12,0.09388207837875268,0.0037401579100114967
XPO5,ARHGAP15,-0.09274898931152988,0.004181440594181834
XPO5,ARHGAP21,0.11822475104308683,0.00025638047423693554
XPO5,ARHGAP45,0.13669702137442755,2.315634226200307e-05
XPO5,ARHGDIG,0.12887700230263788,6.667422524149511e-05
XPO5,ARHGEF1,0.11796713309484687,0.0002645176440631699
XPO5,ARHGEF28,0.10162845570065525,0.0016911663639596905
XPO5,ARID2,0.09356270207059562,0.003860053401670104
XPO5,ARL14,0.09136035056450632,0.004786289498883009
XPO5,ARL2,-0.11337835028468864,0.00045670475600017376
XPO5,ARL4C,0.10773763303357421,0.0008699623993623349
XPO5,ARL6IP4,0.15025586997510068,3.21727458462248e-06
XPO5,ARMC7,0.23723487050233316,1.2046549365394763e-13
XPO5,ARMH3,0.09853421157542121,0.0023373574500413063
XPO5,ARMH4,0.10035476742843169,0.0019341808195773226
XPO5,ARMS2,-0.12652482042207774,9.060219172505082e-05
XPO5,ARNTL2,0.101139939260562,0.001780850232353873
XPO5,ARPC1B,0.11233619014797343,0.0005155971139989646
XPO5,ARPC5,0.09451356408269386,0.003512990198534157
XPO5,ARRDC1,0.12194851204298035,0.0001620727431037591
XPO5,ARV1,0.09170834242654616,0.004627713799709717
XPO5,ASB6,0.09913053994148217,0.0021975354742154777
XPO5,ASB7,0.10519155253103109,0.001152468909461783
XPO5,ASB9,0.08662022603594868,0.007492123352984576
XPO5,ASF1A,0.09875963670401211,0.002283572407485432
XPO5,ASH2L,-0.1088962907463328,0.0007639425694126927
XPO5,ASNS,-0.14326949237388573,9.096237855002225e-06
XPO5,ASPM,-0.09691530657015558,0.0027589398555666594
XPO5,ASS1,-0.09117291291578826,0.004873722036580522
XPO5,ASTE1,0.10809932628905766,0.0008354873755161439
XPO5,ASTL,-0.10237667479802483,0.001561820156602257
XPO5,ASTN1,-0.08383206161561282,0.00966039121395656
XPO5,ASTN2,0.10223092278813016,0.001586279973580699
XPO5,ATAD2B,0.09620638230772133,0.00296450769401953
XPO5,ATAT1,0.10452543016244892,0.0012392319309675066
XPO5,ATF4,-0.10604604373631467,0.001049376650928816
XPO5,ATF7IP,0.10329293853540551,0.0014158291430172176
XPO5,ATG12,0.10663101798428869,0.0009837877322948975
XPO5,ATIC,0.13498440455423405,2.9338387469115657e-05
XPO5,ATL1,-0.08737288983486044,0.006986966638758773
XPO5,ATL2,0.22842215280312414,9.813197918030798e-13
XPO5,ATM,0.08426780868515493,0.009288397679728295
XPO5,ATOH7,0.0905993330235695,0.00515030946794947
XPO5,ATP1B2,0.0859059709560524,0.008001488263291463
XPO5,ATP1B3,0.208804719155964,7.720706344065668e-11
XPO5,ATP23,0.11376801212437453,0.0004363424191549487
XPO5,ATP2A2,-0.15401588137268626,1.802858211622446e-06
XPO5,ATP5F1C,0.10378581371171988,0.0013425982423866504
XPO5,ATP5F1D,0.16379502508406293,3.7440722698172095e-07
XPO5,ATP5IF1,0.1357071073280143,2.6559490963161542e-05
XPO5,ATP5ME,0.16613320885204783,2.5351419688965985e-07
XPO5,ATP5MF,0.08463734267478443,0.008982987245780696
XPO5,ATP5MG,0.13599408454524076,2.5526918612664213e-05
XPO5,ATP5PO,0.10696423921323098,0.0009481415714915284
XPO5,ATP6AP1,0.13233626372118024,4.2065701302138606e-05
XPO5,ATP6AP1L,0.09104250481787732,0.0049354007155598435
XPO5,ATP6AP2,0.11575068687901231,0.0003452117076706508
XPO5,ATP6V0D1,-0.16669927804822224,2.3048747986789135e-07
XPO5,ATP6V0E1,0.10169336169342348,0.0016795679748198955
XPO5,ATP6V1B1,0.08713808193163076,0.007141180688583311
XPO5,ATP6V1C1,-0.17468710131542467,5.809652553622416e-08
XPO5,ATP6V1E1,-0.11601257410950112,0.00033460097990896344
XPO5,ATP6V1E2,-0.11793026013469787,0.00026570190431741617
XPO5,ATP6V1G2,0.11144069311913106,0.0005717699841705459
XPO5,ATP6V1H,-0.09335432002569702,0.003940149366004551
XPO5,ATP8B3,0.09818411201581385,0.002423188700219226
XPO5,ATP9B,0.10914043851253985,0.0007431885825435501
XPO5,ATPAF2,0.09802769556994072,0.0024624590423532678
XPO5,ATR,-0.1579993590331272,9.613409384309122e-07
XPO5,ATRX,0.11479870297089277,0.00038648823884610586
XPO5,ATXN2L,0.12467526484107443,0.0001148830090853397
XPO5,ATXN7,0.1344278338913073,3.1664276667615996e-05
XPO5,ATXN7L1,0.09012938389441896,0.005387395050303363
XPO5,ATXN7L2,-0.09216657191798269,0.004426152375650756
XPO5,ATXN7L3,0.09562549399870036,0.0031432454454452265
XPO5,AUH,0.10449958653183594,0.001242716412802032
